#editted by cmc
#
# FLAMINGOS BARR J-Band Witness Sample MAN-240-W
# Witness Measured at 77 K		
# Peak Transmission (%)         83.34E+00
# Cut-on Wavelength (nm)	1169.80
# Cut-off Wavelength (nm)	1326.15
# Wavelength (micron)           Transmission
1.326000  0.425600
1.325500  0.461900
1.325000  0.502500
1.324500  0.535800
1.324000  0.574900
1.323500  0.604400
1.323000  0.633900
1.322500  0.659600
1.322000  0.687400
1.321500  0.711100
1.321000  0.728600
1.320500  0.743900
1.320000  0.755900
1.319500  0.762300
1.319000  0.771900
1.318500  0.775900
1.318000  0.779200
1.317500  0.781200
1.317000  0.780000
1.316500  0.779000
1.316000  0.778600
1.315500  0.776200
1.315000  0.773000
1.314500  0.770700
1.314000  0.767700
1.313500  0.764700
1.313000  0.761700
1.312500  0.758300
1.312000  0.755100
1.311500  0.751300
1.311000  0.748100
1.310500  0.745200
1.310000  0.743100
1.309500  0.739700
1.309000  0.737300
1.308500  0.734500
1.308000  0.732200
1.307500  0.729200
1.307000  0.728200
1.306500  0.725200
1.306000  0.723300
1.305500  0.721600
1.305000  0.719600
1.304500  0.717300
1.304000  0.716400
1.303500  0.713600
1.303000  0.713400
1.302500  0.710700
1.302000  0.710400
1.301500  0.709900
1.301000  0.708400
1.300500  0.709200
1.300000  0.707800
1.299500  0.709500
1.299000  0.708700
1.298500  0.709400
1.298000  0.710800
1.297500  0.711700
1.297000  0.713500
1.296500  0.714200
1.296000  0.716800
1.295500  0.718300
1.295000  0.721000
1.294500  0.722900
1.294000  0.726100
1.293500  0.728100
1.293000  0.732200
1.292500  0.735400
1.292000  0.738400
1.291500  0.742900
1.291000  0.744800
1.290500  0.750800
1.290000  0.753000
1.289500  0.757000
1.289000  0.761400
1.288500  0.763300
1.288000  0.766900
1.287500  0.771000
1.287000  0.774500
1.286500  0.778300
1.286000  0.780500
1.285500  0.784000
1.285000  0.785000
1.284500  0.789600
1.284000  0.791700
1.283500  0.793000
1.283000  0.796000
1.282500  0.797000
1.282000  0.797300
1.281500  0.801600
1.281000  0.800100
