# editted by cmc
#
# FLAMINGOS BARR Ks Filter MAN-306A-W
# Witness Sample at 77 K	
# Wavelength (micron)	Transmission
2.400000  0.001140
2.399500  0.001250
2.399000  0.001110
2.398500  0.000920
2.398000  0.000970
2.397500  0.000700
2.397000  0.001170
2.396500  0.001080
2.396000  0.001460
2.395500  0.000980
2.395000  0.000800
2.394500  0.000750
2.394000  0.001160
2.393500  0.000250
2.393000  0.001410
2.392500  0.000930
2.392000  0.000230
2.391500  0.001020
2.391000  0.000420
2.390500  0.000450
2.390000  0.000930
2.389500  0.000200
2.389000  0.000900
2.388500  0.001200
2.388000  0.000770
2.387500  0.001010
2.387000  0.001070
2.386500  0.001240
2.386000  0.000400
2.385500  0.000890
2.385000  0.001290
2.384500  0.001070
2.384000  0.000900
2.383500  0.001050
2.383000  0.000400
2.382500  0.000250
2.382000  0.000990
2.381500  0.001260
2.381000  0.001070
2.380500  0.000780
2.380000  0.001060
2.379500  0.000620
2.379000  0.000420
2.378500  0.000640
2.378000  0.000630
2.377500  0.000680
2.377000  0.001100
2.376500  0.000720
2.376000  0.001140
2.375500  0.001370
2.375000  0.000770
2.374500  0.000650
2.374000  0.001260
2.373500  0.000650
2.373000  0.000450
2.372500  0.001160
2.372000  0.001220
2.371500  0.000910
2.371000  0.001230
2.370500  0.001200
2.370000  0.000770
2.369500  0.001320
2.369000  0.000990
2.368500  0.001530
2.368000  0.001100
2.367500  0.001260
2.367000  0.001130
2.366500  0.001280
2.366000  0.001540
2.365500  0.001510
2.365000  0.001440
2.364500  0.002230
2.364000  0.001520
2.363500  0.002340
2.363000  0.001390
2.362500  0.001840
2.362000  0.001690
2.361500  0.001200
2.361000  0.001690
2.360500  0.001750
2.360000  0.001420
2.359500  0.001740
2.359000  0.002020
2.358500  0.001850
2.358000  0.002050
2.357500  0.002160
2.357000  0.001930
2.356500  0.002580
2.356000  0.002830
2.355500  0.002670
2.355000  0.002510
2.354500  0.002640
2.354000  0.002350
2.353500  0.002670
2.353000  0.002720
2.352500  0.003190
2.352000  0.003560
2.351500  0.003620
2.351000  0.003620
2.350500  0.003480
2.350000  0.003670
2.349500  0.003930
2.349000  0.003980
2.348500  0.004070
2.348000  0.004120
2.347500  0.004770
2.347000  0.005490
2.346500  0.004750
2.346000  0.005380
2.345500  0.004960
2.345000  0.005760
2.344500  0.005790
2.344000  0.006240
2.343500  0.006450
2.343000  0.007020
2.342500  0.007180
2.342000  0.007070
2.341500  0.007530
2.341000  0.008190
2.340500  0.008690
2.340000  0.009230
2.339500  0.009900
2.339000  0.010200
2.338500  0.010500
2.338000  0.011200
2.337500  0.012300
2.337000  0.013100
2.336500  0.013500
2.336000  0.013900
2.335500  0.014800
2.335000  0.015600
2.334500  0.016900
2.334000  0.017500
2.333500  0.018900
2.333000  0.019500
2.332500  0.021000
2.332000  0.022600
2.331500  0.023900
2.331000  0.025300
2.330500  0.027300
2.330000  0.028800
2.329500  0.030400
2.329000  0.032600
2.328500  0.034800
2.328000  0.037500
2.327500  0.040000
2.327000  0.042200
2.326500  0.044500
2.326000  0.047800
2.325500  0.051500
2.325000  0.054400
2.324500  0.058400
2.324000  0.061600
2.323500  0.066100
2.323000  0.070400
2.322500  0.075200
2.322000  0.080200
2.321500  0.085200
2.321000  0.090500
2.320500  0.096200
2.320000  0.102900
2.319500  0.109600
2.319000  0.116600
2.318500  0.122500
2.318000  0.130500
2.317500  0.139000
2.317000  0.147500
2.316500  0.156200
2.316000  0.164300
2.315500  0.173500
2.315000  0.183100
2.314500  0.194500
2.314000  0.205500
2.313500  0.215900
2.313000  0.226300
2.312500  0.235800
2.312000  0.247200
2.311500  0.260200
2.311000  0.273700
2.310500  0.287400
2.310000  0.298400
2.309500  0.311000
2.309000  0.324300
2.308500  0.341100
2.308000  0.354800
2.307500  0.367200
2.307000  0.379400
2.306500  0.392600
2.306000  0.409500
2.305500  0.427000
2.305000  0.443500
2.304500  0.455800
2.304000  0.467400
2.303500  0.480400
2.303000  0.498100
2.302500  0.517500
2.302000  0.532800
2.301500  0.544200
2.301000  0.555700
2.300500  0.569200
2.300000  0.586800
2.299500  0.605600
2.299000  0.620000
2.298500  0.630500
2.298000  0.640600
2.297500  0.654600
2.297000  0.671700
2.296500  0.688000
2.296000  0.699100
2.295500  0.708600
2.295000  0.718500
2.294500  0.732000
2.294000  0.746500
2.293500  0.758400
2.293000  0.767000
2.292500  0.773500
2.292000  0.782600
2.291500  0.793600
2.291000  0.804100
2.290500  0.812100
2.290000  0.816000
2.289500  0.819600
2.289000  0.826900
2.288500  0.835100
2.288000  0.841800
2.287500  0.845700
2.287000  0.846800
2.286500  0.848300
2.286000  0.852600
2.285500  0.858300
2.285000  0.861200
2.284500  0.862100
2.284000  0.860500
2.283500  0.861500
2.283000  0.864100
2.282500  0.866300
2.282000  0.867700
2.281500  0.865500
2.281000  0.863300
2.280500  0.862500
2.280000  0.865000
2.279500  0.865000
2.279000  0.864600
2.278500  0.861600
2.278000  0.859200
2.277500  0.859500
2.277000  0.860300
2.276500  0.860700
2.276000  0.858700
2.275500  0.856700
2.275000  0.854700
2.274500  0.855100
2.274000  0.855700
2.273500  0.855100
2.273000  0.853400
2.272500  0.852100
2.272000  0.851600
2.271500  0.852200
2.271000  0.853700
2.270500  0.852200
2.270000  0.851100
2.269500  0.850300
2.269000  0.850200
2.268500  0.851300
2.268000  0.852000
2.267500  0.851200
2.267000  0.851200
2.266500  0.851300
2.266000  0.852300
2.265500  0.853900
2.265000  0.853600
2.264500  0.853600
2.264000  0.852900
2.263500  0.853900
2.263000  0.855900
2.262500  0.856200
2.262000  0.855900
2.261500  0.856500
2.261000  0.857000
2.260500  0.858600
2.260000  0.859900
2.259500  0.859700
2.259000  0.859600
2.258500  0.859500
2.258000  0.860600
2.257500  0.862400
2.257000  0.863100
2.256500  0.862300
2.256000  0.861700
2.255500  0.862200
2.255000  0.864400
2.254500  0.865300
2.254000  0.865000
2.253500  0.863500
2.253000  0.863300
2.252500  0.863800
2.252000  0.865700
2.251500  0.865900
2.251000  0.864900
2.250500  0.863700
2.250000  0.863100
2.249500  0.864600
2.249000  0.865800
2.248500  0.864800
2.248000  0.863100
2.247500  0.862000
2.247000  0.862300
2.246500  0.864500
2.246000  0.864700
2.245500  0.862800
2.245000  0.861200
2.244500  0.860900
2.244000  0.862300
2.243500  0.863500
2.243000  0.862700
2.242500  0.859900
2.242000  0.859000
2.241500  0.859300
2.241000  0.861500
2.240500  0.862100
2.240000  0.859900
2.239500  0.858100
2.239000  0.857200
2.238500  0.858900
2.238000  0.860300
2.237500  0.860300
2.237000  0.857400
2.236500  0.855600
2.236000  0.856700
2.235500  0.858600
2.235000  0.859000
2.234500  0.857000
2.234000  0.854900
2.233500  0.853900
2.233000  0.855200
2.232500  0.857200
2.232000  0.855500
2.231500  0.853600
2.231000  0.852300
2.230500  0.853400
2.230000  0.855800
2.229500  0.856000
2.229000  0.853000
2.228500  0.851300
2.228000  0.851200
2.227500  0.853700
2.227000  0.855000
2.226500  0.844200
2.226000  0.848300
2.225500  0.849000
2.225000  0.850300
2.224500  0.851500
2.224000  0.851100
2.223500  0.840400
2.223000  0.832600
2.222500  0.848600
2.222000  0.851100
2.221500  0.852000
2.221000  0.849400
2.220500  0.846500
2.220000  0.846000
2.219500  0.848700
2.219000  0.850100
2.218500  0.848400
2.218000  0.844700
2.217500  0.844700
2.217000  0.847100
2.216500  0.849800
2.216000  0.848700
2.215500  0.845900
2.215000  0.843800
2.214500  0.845800
2.214000  0.849000
2.213500  0.849100
2.213000  0.846600
2.212500  0.843700
2.212000  0.844500
2.211500  0.848600
2.211000  0.850900
2.210500  0.849100
2.210000  0.845800
2.209500  0.845700
2.209000  0.849200
2.208500  0.851500
2.208000  0.848700
2.207500  0.848300
2.207000  0.847900
2.206500  0.849200
2.206000  0.848000
2.205500  0.855800
2.205000  0.853400
2.204500  0.852100
2.204000  0.853600
2.203500  0.858000
2.203000  0.860400
2.202500  0.859700
2.202000  0.857300
2.201500  0.856800
2.201000  0.861200
2.200500  0.856600
2.200000  0.862800
2.199500  0.862700
2.199000  0.861400
2.198500  0.865000
2.198000  0.870400
2.197500  0.871200
2.197000  0.868600
2.196500  0.866900
2.196000  0.869100
2.195500  0.874600
2.195000  0.877100
2.194500  0.876000
2.194000  0.872300
2.193500  0.874000
2.193000  0.877800
2.192500  0.881800
2.192000  0.881800
2.191500  0.878500
2.191000  0.878600
2.190500  0.882200
2.190000  0.886500
2.189500  0.886300
2.189000  0.883500
2.188500  0.882500
2.188000  0.885700
2.187500  0.890200
2.187000  0.891600
2.186500  0.889000
2.186000  0.886100
2.185500  0.888000
2.185000  0.892300
2.184500  0.893100
2.184000  0.892300
2.183500  0.888400
2.183000  0.889200
2.182500  0.892400
2.182000  0.895400
2.181500  0.894400
2.181000  0.891700
2.180500  0.891800
2.180000  0.894300
2.179500  0.896700
2.179000  0.895400
2.178500  0.892600
2.178000  0.893000
2.177500  0.894400
2.177000  0.897300
2.176500  0.897000
2.176000  0.894400
2.175500  0.894000
2.175000  0.895400
2.174500  0.898100
2.174000  0.898000
2.173500  0.896600
2.173000  0.895100
2.172500  0.896400
2.172000  0.899400
2.171500  0.899400
2.171000  0.897500
2.170500  0.895600
2.170000  0.897400
2.169500  0.900300
2.169000  0.900800
2.168500  0.899700
2.168000  0.897700
2.167500  0.897500
2.167000  0.901900
2.166500  0.903400
2.166000  0.900900
2.165500  0.900000
2.165000  0.900200
2.164500  0.902200
2.164000  0.904600
2.163500  0.903800
2.163000  0.901600
2.162500  0.902300
2.162000  0.903500
2.161500  0.905800
2.161000  0.906100
2.160500  0.903500
2.160000  0.903800
2.159500  0.906100
2.159000  0.908600
2.158500  0.907800
2.158000  0.905100
2.157500  0.904900
2.157000  0.907600
2.156500  0.909200
2.156000  0.908200
2.155500  0.906800
2.155000  0.905700
2.154500  0.908000
2.154000  0.910100
2.153500  0.909700
2.153000  0.907500
2.152500  0.905100
2.152000  0.906400
2.151500  0.909400
2.151000  0.908700
2.150500  0.905100
2.150000  0.899900
2.149500  0.905200
2.149000  0.908100
2.148500  0.907500
2.148000  0.904800
2.147500  0.903200
2.147000  0.903500
2.146500  0.905300
2.146000  0.905300
2.145500  0.902300
2.145000  0.900400
2.144500  0.900600
2.144000  0.902300
2.143500  0.901500
2.143000  0.898500
2.142500  0.896500
2.142000  0.896500
2.141500  0.898300
2.141000  0.898300
2.140500  0.894600
2.140000  0.891600
2.139500  0.892500
2.139000  0.894300
2.138500  0.893500
2.138000  0.890100
2.137500  0.888100
2.137000  0.888300
2.136500  0.890200
2.136000  0.889400
2.135500  0.885600
2.135000  0.883300
2.134500  0.884800
2.134000  0.885800
2.133500  0.885400
2.133000  0.882000
2.132500  0.880400
2.132000  0.881900
2.131500  0.883200
2.131000  0.882900
2.130500  0.879600
2.130000  0.878400
2.129500  0.880200
2.129000  0.881900
2.128500  0.881100
2.128000  0.878300
2.127500  0.876700
2.127000  0.879600
2.126500  0.881900
2.126000  0.880400
2.125500  0.877700
2.125000  0.876600
2.124500  0.879100
2.124000  0.882200
2.123500  0.877100
2.123000  0.878100
2.122500  0.878000
2.122000  0.880900
2.121500  0.881600
2.121000  0.877800
2.120500  0.878700
2.120000  0.880300
2.119500  0.884000
2.119000  0.885400
2.118500  0.884700
2.118000  0.882500
2.117500  0.882700
2.117000  0.879600
2.116500  0.886400
2.116000  0.886300
2.115500  0.884900
2.115000  0.885400
2.114500  0.889700
2.114000  0.890800
2.113500  0.888200
2.113000  0.887500
2.112500  0.889600
2.112000  0.892800
2.111500  0.894000
2.111000  0.891700
2.110500  0.890600
2.110000  0.892900
2.109500  0.895800
2.109000  0.896200
2.108500  0.893900
2.108000  0.892500
2.107500  0.894300
2.107000  0.898200
2.106500  0.897200
2.106000  0.894900
2.105500  0.894100
2.105000  0.896000
2.104500  0.900200
2.104000  0.899800
2.103500  0.896200
2.103000  0.895700
2.102500  0.898900
2.102000  0.902200
2.101500  0.900700
2.101000  0.897500
2.100500  0.898000
2.100000  0.901300
2.099500  0.903600
2.099000  0.901100
2.098500  0.898900
2.098000  0.900000
2.097500  0.903900
2.097000  0.905800
2.096500  0.902500
2.096000  0.900200
2.095500  0.902100
2.095000  0.906000
2.094500  0.906200
2.094000  0.903900
2.093500  0.902300
2.093000  0.905900
2.092500  0.909600
2.092000  0.908400
2.091500  0.905500
2.091000  0.905400
2.090500  0.910400
2.090000  0.912700
2.089500  0.910300
2.089000  0.907700
2.088500  0.909400
2.088000  0.914400
2.087500  0.915800
2.087000  0.912700
2.086500  0.910500
2.086000  0.912900
2.085500  0.918100
2.085000  0.918400
2.084500  0.914800
2.084000  0.913700
2.083500  0.917300
2.083000  0.920300
2.082500  0.920300
2.082000  0.915900
2.081500  0.915500
2.081000  0.920100
2.080500  0.923200
2.080000  0.920500
2.079500  0.915900
2.079000  0.917400
2.078500  0.921700
2.078000  0.922100
2.077500  0.917900
2.077000  0.915100
2.076500  0.917600
2.076000  0.921100
2.075500  0.919000
2.075000  0.914100
2.074500  0.912200
2.074000  0.916200
2.073500  0.918300
2.073000  0.913000
2.072500  0.908500
2.072000  0.907900
2.071500  0.912200
2.071000  0.912000
2.070500  0.906600
2.070000  0.903500
2.069500  0.905000
2.069000  0.907500
2.068500  0.905300
2.068000  0.899000
2.067500  0.896300
2.067000  0.899100
2.066500  0.901300
2.066000  0.897900
2.065500  0.892500
2.065000  0.892200
2.064500  0.895000
2.064000  0.895700
2.063500  0.891500
2.063000  0.886600
2.062500  0.889800
2.062000  0.892600
2.061500  0.891300
2.061000  0.886600
2.060500  0.884400
2.060000  0.888200
2.059500  0.890700
2.059000  0.887100
2.058500  0.883800
2.058000  0.885700
2.057500  0.890200
2.057000  0.891600
2.056500  0.887100
2.056000  0.885600
2.055500  0.890400
2.055000  0.894100
2.054500  0.893400
2.054000  0.889700
2.053500  0.890400
2.053000  0.897200
2.052500  0.899400
2.052000  0.895600
2.051500  0.894000
2.051000  0.898300
2.050500  0.903400
2.050000  0.904200
2.049500  0.900400
2.049000  0.901700
2.048500  0.906900
2.048000  0.910700
2.047500  0.909000
2.047000  0.905700
2.046500  0.909300
2.046000  0.915700
2.045500  0.916400
2.045000  0.912200
2.044500  0.911200
2.044000  0.915700
2.043500  0.920600
2.043000  0.917800
2.042500  0.914300
2.042000  0.916600
2.041500  0.921800
2.041000  0.923100
2.040500  0.918200
2.040000  0.916400
2.039500  0.920700
2.039000  0.924300
2.038500  0.921000
2.038000  0.916600
2.037500  0.917400
2.037000  0.922400
2.036500  0.922000
2.036000  0.917300
2.035500  0.915000
2.035000  0.918200
2.034500  0.922300
2.034000  0.918500
2.033500  0.914400
2.033000  0.914900
2.032500  0.919200
2.032000  0.920100
2.031500  0.914500
