;;λ   κ
303 992.798171070283
311 914.602730987995
318 852.709828473559
325 796.222363801423
333 737.555278678925
341 684.464553494522
348 642.079608961296
357 592.539569722837
365 552.669631780109
373 516.280947221165
382 479.049447690192
391 445.305318321242
400 414.654609623947
409 386.755193330763
419 358.621456923861
429 333.162497141876
439 310.071827742995
449 289.083822948213
459 269.967531849028
470 250.861822587413
481 233.544638326647
492 217.814156267573
504 202.257850842375
515 189.304846315895
527 176.440417095527
540 163.827314817915
552 153.267841447712
565 142.868802588788
578 133.431556253329
592 124.221169689064
606 115.885838336256
620 108.325242075315
634 101.452420045232
649 94.7661911145297
664 88.7020664244495
679 83.1900606931926
695 77.8507482988077
711 73.0063920281632
728 68.3395560303858
745 64.1110911623454
762 60.2710613583607
780 56.5804689369158
798 53.2322380217417
817 50.0268069069452
836 47.1205047735477
855 44.4793022845337
875 41.9530786910376
896 39.54886326086
917 37.3696583664164
938 35.3896432302184
960 33.5046442934354
982 31.7914304187879
1005 30.1630852719431
1028 28.6822820218098
1052 27.2765048797805
1077 25.9462541681036
1102 24.7371405230376
1128 23.5933777007397
1154 22.5523503272259
1181 21.5676110108193
1208 20.6699331721078
1236 19.8205739614186
1265 19.0185432252329
1295 18.2625318429308
1325 17.5729172832689
1356 16.9221566849897
1387 16.3272230256245
1420 15.748361828702
1453 15.2193916944105
1486 14.7347863415756
1521 14.2639753934652
1557 13.8210008153032
1593 13.4153386395236
1630 13.0331269243628
1668 12.6733706481726
1707 12.3345436053635
1746 12.015540758005
1787 11.6973524582591
1829 11.3885951989222
1871 11.0961124522432
1915 10.8058043698529
1960 10.5242370210004
2005 10.2560815918055
2052 9.98766586472381
2100 9.72277062650262
2149 9.45897334847635
2199 9.19444445332165
2250 8.92858921501777
2302 8.66223808829276
2356 8.39233158622288
2411 8.12634885265726
2467 7.86628885203463
2524 7.61352569569338
2583 7.36468526537341
2643 7.12453933079859
2705 6.88927819417074
2768 6.66267330098731
2832 6.44429682961318
2898 6.23054183745146
2966 6.0214413042434
3035 5.81984579608425
3106 5.62261191596328
3178 5.43231614846411
3252 5.24612205642328
3328 5.09827035745782
3405 5.01543897018042
3485 4.94581266644588
3566 4.88527959492098
3649 4.82707692111647
3734 4.76628029946807
3821 4.69927330522127
3910 4.62385648979455
4001 4.53915189742498
4094 4.44539067892807
4189 4.34364769026507
4287 4.23443853151389
4387 4.12082993915363
4489 4.00494065433829
4594 3.88770108296777
4701 3.77211055284846
4810 3.65970763703523
4922 3.55072089460756
5037 3.44613562645733
5154 3.34738513130583
5274 3.25379743349565
5397 3.16532390603102
5523 3.08163926494317
5651 3.00278862587742
5783 2.92683178570461
5918 2.85358895828694
6056 2.78219589454497
6197 2.71179821356127
6341 2.64160044026863
6489 2.57042844629736
6640 2.49820180697778
6794 2.42451118887968
6953 2.34816504809156
7115 2.27007894540641
7280 2.1904117278734
7450 2.10855588421495
7623 2.02603069664841
7801 1.94263729860288
7983 1.85979651099465
8169 1.77861432983438
8359 1.70034066676155
8554 1.62598173254293
8753 1.55744701970332
8957 1.49601257265194
9165 1.44115198206121
9379 1.38858041717794
9597 1.33815035090529
9821 1.28935457074266
10050 1.24238357034392
10284 1.19718737829133
10523 1.15371449915581
10768 1.11174614824767
11019 1.07125816284533
11276 1.03222268854471
11539 0.99460880556085
11807 0.958513782799771
12082 0.923633210970577
12364 0.88995300690176
12652 0.857564459298773
12946 0.826427458892547
13248 0.796307937322405
13557 0.767290231751925
13872 0.739433529894783
14195 0.712533142886953
14526 0.686574919772237
14864 0.661613848973213
15211 0.63748365669175
15565 0.614303468798571
15928 0.591920595512495
16299 0.570379507339359
16678 0.549656373353731
17067 0.529626839593657
17464 0.510377670566743
17871 0.49179420014531
18287 0.47390761853555
18713 0.456659142291632
19149 0.440035626219849
19595 0.424022768979545
20052 0.408572534321673
20519 0.393705598645413
20997 0.379376031542638
21486 0.36557171740031
21986 0.352279717088683
22498 0.339462151871786
23022 0.327109192631854
23559 0.315188618699424
24107 0.303733404878979
24669 0.29267058222403
25244 0.282012528760591
25832 0.271749420984856
26433 0.261870914498104
27049 0.252336226702614
27679 0.243153722073081
28324 0.234301018217945
28983 0.225783544525839
29659 0.217556011137349
30349 0.209647939364874
31056 0.202017398852622
31780 0.19465936011266
32520 0.187577478896292
33277 0.180755262649516
34053 0.174169818685372
34846 0.167832799179594
35657 0.161729755237369
36488 0.155840905718111
37338 0.150168853911154
38208 0.144702031302049
39098 0.13943578495319
40008 0.134365150856623
40940 0.12947473751396
41894 0.124760933397117
42870 0.12021978598211
43868 0.115847067550226
44890 0.111630326311481
45936 0.107566353663519
47006 0.103651657660832
48101 0.0998791756963278
49221 0.0962455950911894
50367 0.0927444358849836
51541 0.0893669602024582
52741 0.086116069449083
53970 0.0829808092491988
55227 0.079961184799053
56513 0.0770520495660466
57830 0.074246574131761
59177 0.0715445931010093
60555 0.0689416296848482
61966 0.0664317944960757
63409 0.0640147572988217
64886 0.0616850534491453
66397 0.0594407174709071
67944 0.0572769350172425
69526 0.0551932535771303
71146 0.0531839725029234
72803 0.0512486848645398
74499 0.0493833838443025
76234 0.0475864863991753
78010 0.0458544101785128
79827 0.044185713033271
81686 0.0425780114640587
83589 0.0410282468836561
85536 0.0395351390179475
87529 0.0380959135419279
89567 0.0367100295320237
91654 0.0353736005509846
93789 0.0340861924239122
95973 0.0328460428700615
98209 0.0316504204605529
100496 0.0304988545989774
102837 0.0293888455813462
105233 0.0283190328327589
